Date,Open,High,Low,Volume,Adj Close,Close
2000-03-22,1.992188,2.052083,1.958333,23059200,1.826243,1.990885
2005-04-08,1.988333,2.0325,1.95,62154000,1.792561,1.954167
2018-03-29,56.0275,58.875,55.174999,91662800,57.320843,57.897499
2010-03-18,4.5325,4.5325,4.325,74096400,4.004023,4.365
2006-05-02,5.188333,5.25,5.055,53970000,4.717992,5.143333
2002-08-07,0.7875,0.795,0.708333,89298000,0.675746,0.736667
2002-05-13,2.684167,2.826667,2.661667,80089200,2.5845,2.8175
2000-07-13,2.893229,3.114583,2.888021,45873600,2.842681,3.098958
2021-01-06,132.225006,132.449997,125.860001,58042400,125.855423,126.144997
2017-08-07,42.0975,43.092499,42.0,71741200,42.564793,43.087502
2021-09-24,220.699997,221.490005,218.610001,21765500,220.468536,220.809998
2022-11-03,130.429993,137.809998,129.559998,50006500,134.109894,134.210007
2003-03-13,1.078333,1.158333,1.073333,136273200,1.056427,1.151667
2006-04-24,4.708333,4.868333,4.625,67684800,4.422925,4.821667
2023-02-28,233.720001,238.25,232.059998,45596300,232.046143,232.160004
2008-08-13,2.9875,3.11,2.915,209526000,2.811532,3.065
2009-05-28,2.6325,2.65,2.515,99528800,2.410212,2.6275
2015-07-07,5.0125,5.0325,4.79,59425200,4.791324,4.9475
2022-12-23,151.960007,153.389999,148.830002,34932600,151.985428,152.059998
2017-01-30,27.73,27.752501,26.977501,49600400,27.108522,27.504999
2000-09-08,3.21875,3.291667,3.052083,22264800,2.809237,3.0625
2017-01-19,25.7675,26.615,25.745001,64487200,25.911039,26.290001
2000-11-28,2.35026,2.375,2.091146,38234400,1.965392,2.142578
2018-06-22,64.487503,64.622498,62.5825,43416000,62.151039,62.737499
2003-12-08,1.7025,1.7325,1.6875,34098000,1.573173,1.715
2022-01-14,263.0,271.970001,262.100006,39583200,269.036285,269.420013
2015-05-01,5.595,5.705,5.57,25696800,5.482588,5.6875
2011-09-15,3.905,3.925,3.84,75290800,3.554546,3.875
2013-09-04,3.69,3.7475,3.685,22208000,3.495204,3.725
2016-04-19,9.2775,9.295,9.02,30915200,8.893749,9.0775
2020-06-23,95.510002,96.425003,94.074997,37510800,94.227043,94.5
2003-05-07,1.339167,1.370833,1.314167,89737200,1.226892,1.3375
2006-03-30,4.761667,4.815,4.675833,106330800,4.393114,4.789167
2013-05-15,3.595,3.6875,3.595,31317200,3.41365,3.675
2018-07-02,58.522499,60.5975,58.314999,35757200,59.993908,60.560001
2018-12-03,43.150002,43.669998,41.834999,89080400,42.177822,42.509998
2019-09-24,44.025002,44.322498,42.775002,31726800,42.930916,43.1325
2024-04-01,902.98999,922.25,892.039978,45244100,903.630005,903.630005
2003-04-15,1.115833,1.131667,1.088333,49021200,1.025085,1.1175
2009-03-13,2.4275,2.485,2.3875,119515600,2.24739,2.45
2006-05-10,4.971667,5.03,4.87,75326400,4.513126,4.92
2017-07-26,41.919998,42.482498,41.462502,64040400,41.30772,41.814999
2008-07-14,2.94,2.9625,2.765,88231600,2.554687,2.785
2011-01-31,5.95,6.0625,5.8525,75016000,5.485467,5.98
2023-05-18,304.100006,318.279999,303.200012,74872500,316.678406,316.779999
2010-06-03,3.115,3.1825,3.105,58636000,2.912434,3.175
2021-09-29,209.399994,210.169998,204.669998,21839400,204.852737,205.169998
2007-04-17,5.198333,5.316667,5.093333,105910800,4.695059,5.118333
2005-05-27,2.315,2.315,2.269167,32274000,2.103679,2.293333
2000-09-05,3.390625,3.393229,3.294271,24614400,3.04334,3.317708
2021-02-18,147.289993,148.732498,145.75,23386800,147.949585,148.289993
2009-10-05,3.5,3.5125,3.385,75427600,3.160107,3.445
2023-05-08,285.220001,292.200012,283.5,34497900,291.416534,291.51001
2003-01-02,1.0,1.0375,0.965833,130254000,0.940999,1.025833
2022-06-30,153.610001,155.669998,148.619995,68607000,151.431885,151.589996
2024-03-20,897.969971,904.099976,882.22998,47906300,903.719971,903.719971
2009-07-01,2.84,2.8725,2.7875,69642000,2.600552,2.835
2011-04-15,4.5925,4.735,4.57,96972000,4.29068,4.6775
2004-07-14,1.325,1.361667,1.285833,90160800,1.203959,1.3125
2023-03-16,240.270004,255.880005,238.940002,58325300,255.328125,255.410004
2017-04-24,25.74,25.870001,25.5275,37182000,25.398516,25.737499
2021-02-26,137.524994,138.544998,133.610001,50093200,136.83017,137.145004
2012-05-31,3.1425,3.155,3.0675,35819200,2.850517,3.1075
2010-01-26,4.165,4.1925,4.05,71463600,3.717367,4.0525
2012-05-07,3.12,3.1725,3.0925,60444000,2.859689,3.1175
2017-06-13,38.599998,38.692501,36.412498,167250400,37.390816,37.849998
2004-11-08,1.454167,1.505833,1.4475,71862000,1.362958,1.485833
2000-09-12,2.940104,3.09375,2.875,12597600,2.677854,2.919271
2011-08-16,3.305,3.35,3.1875,71686800,2.978939,3.2475
2004-03-17,1.833333,1.865833,1.825833,52459200,1.69548,1.848333
2016-01-08,7.6675,7.675,7.3925,39847200,7.231209,7.4075
2022-02-10,259.950012,269.25,256.0,51320000,257.872253,258.23999
2017-12-06,46.424999,47.535,46.209999,46703200,46.814648,47.314999
2023-10-23,412.290009,432.480011,409.450012,47853000,429.692047,429.75
2006-03-15,4.115833,4.179167,4.1,51060000,3.828208,4.173333
2009-07-29,3.2225,3.2425,3.1625,37397200,2.930781,3.195
2009-06-29,2.9,2.945,2.8625,51005600,2.653296,2.8925
2019-05-09,42.785,42.8825,41.349998,66024800,42.258545,42.547501
2023-09-19,438.329987,439.660004,430.019989,37306400,435.141327,435.200012
2012-01-26,3.7675,3.81,3.6575,79967200,3.373378,3.6775
2016-06-14,11.67,11.775,11.54,29834400,11.512575,11.72
2005-02-17,2.174167,2.175,2.109167,101740800,1.950032,2.125833
2008-10-03,2.37,2.4375,2.2425,91582800,2.07081,2.2575
2022-11-02,138.5,142.100006,132.110001,67262800,132.0914,132.190002
2000-05-10,1.804688,1.80599,1.627604,27408000,1.507338,1.643229
2024-02-20,719.469971,719.559998,677.340027,70483300,694.487427,694.52002
2003-01-10,1.0,1.045833,0.986667,92449200,0.945585,1.030833
2006-01-05,3.275,3.354167,3.269167,64609200,3.071433,3.348333
2014-10-01,4.62,4.6525,4.555,35097600,4.367568,4.5675
2017-05-24,35.240002,35.267502,34.52,81599600,34.22224,34.642502
2002-12-12,1.210833,1.225,1.145833,130255200,1.053368,1.148333
2003-09-18,1.645,1.6675,1.626667,60349200,1.528837,1.666667
2024-01-03,474.850006,481.839996,473.200012,32089600,475.667694,475.690002
2006-06-09,3.616667,3.678333,3.528333,43382400,3.264066,3.558333
2010-03-08,4.295,4.3075,4.2125,43931200,3.880188,4.23
2001-01-03,1.208333,1.643229,1.177083,91036800,1.495393,1.630208
2008-07-30,2.97,2.975,2.805,58849200,2.632657,2.87
2015-04-07,5.4175,5.525,5.3875,41396400,5.268103,5.465
